x,y,z
267.93568469929613,339.19759546965224,a
289.1068689391233,388.741157903337,a
268.1403835734541,358.30492612819677,a
298.2882164405269,372.6643642373939,a
288.4310065078359,362.48581476242805,a
271.9590667064362,386.83252247232167,a
301.41070438406985,289.7043703519603,a
306.774175288596,343.16497183625347,a
263.86971994304724,332.5514840407949,a
280.4039743184174,265.02120628919886,a
239.5328683308467,294.22638765704784,a
298.94665693961565,345.9844261598596,a
235.77295494530182,305.64790400813587,a
341.1134695139987,289.4091752341976,a
273.2540422017168,305.5927899206504,a
275.55250501670605,298.4334722986156,a
283.7583990187017,327.92780259134986,a
330.15121148611024,314.3919359576477,a
279.7199809719949,293.0442027523405,a
313.09201384916327,345.49527705819304,a
298.5117541163137,256.1738658127715,a
359.19636559504886,321.20701526442986,a
312.4518688321818,322.63013900018365,a
343.5858530879924,305.30874948137773,a
308.19712033816467,273.6095475868071,a
335.63239762429225,295.5219245882762,a
320.7609148862872,333.8747834915275,a
345.46964981081754,304.06350717817304,a
368.8435486713955,284.2593572613149,a
336.91112177272555,346.1689578061359,a
340.8730475069134,304.02427958421583,a
327.44867694069046,345.6189339976295,a
342.93303972350265,315.22667758901184,a
306.9056396381889,314.35358701431556,a
323.45038780851564,350.87137166279217,a
345.3461535427548,371.6245298960624,a
343.7434240163015,346.54129788841647,a
325.8774967614024,364.6496705774598,a
357.69695491335926,365.54330504319483,a
325.84323630883114,334.01400347821703,a
310.6697552541778,386.48697593298226,a
331.81696208053353,360.90281942183196,a
326.5037496515019,397.95695277636537,a
281.7400006095061,382.7378524870119,a
294.55677836821013,338.2569910088611,a
280.25742864304766,392.0675871423033,a
345.0111125758819,378.2288573301314,a
315.9509130442892,360.0778027148027,a
279.0086994169176,403.8416940418077,a
313.7547532145799,349.7675923362706,a
290.58071643631087,425.9383936115276,a
339.9106067754601,372.9780899097808,a
287.4372717006272,366.24703044795774,a
292.44122508312967,402.49757365922756,a
298.73303213408064,345.8067547955495,a
286.22859811414514,401.53830061069306,a
305.4727472051571,371.4131605316802,a
271.3925952415459,338.4570800527945,a
279.74876594045236,391.65974356870316,a
316.3980531999374,355.264315815145,a
246.03944639365758,380.767320319444,a
